stars,title,tags,details,link,comments,author
".ViewerChecked{
display:inline-block;
width:40px;
height:9.1px;
fill:#55C500;
}

.NotChecked{
display:inline-block;
width:40px;
height:9.1px;
fill:#999;
}4659",エンジニアの情報収集法まとめ,"[""まとめ"", ""初心者"", ""勉強"", ""新人プログラマ応援""]","it(デブサミ)
Go
Go Conference
golang.tokyo
Go言語の初心者が見ると幸せになれる場所 - Qiita (@tenntenn さん)
Ruby ...",https://qiita.com//nesheep5/items/e7196ba496e59bb2aa28,15,nesheep5
".ViewerChecked{
display:inline-block;
width:40px;
height:9.1px;
fill:#55C500;
}

.NotChecked{
display:inline-block;
width:40px;
height:9.1px;
fill:#999;
}4636",2018年の最先端バックエンドエンジニアに必要なスキルについて考えてみました。,"[""キャリア"", ""AWS"", ""gcp""]","言語
ロードマップに記載されていた言語のうち、私は一応
Elixir
Scala
Java
.NET (C#とVB.NET)
Python
Ruby
PHP
TypeScri ...",https://qiita.com//poly_soft/items/fb649573c19b7a5c0227,18,poly_soft
".ViewerChecked{
display:inline-block;
width:40px;
height:9.1px;
fill:#55C500;
}

.NotChecked{
display:inline-block;
width:40px;
height:9.1px;
fill:#999;
}4004",Pythonを書き始める前に見るべきTips,"[""Python""]",いるPyPIというサイトがあり、こちらに作成したパッケージを公開することでpip installなどでほかの人に広く使ってもらうことが可能になる(JavaにおけるMaven、Ruby,https://qiita.com//icoxfog417/items/e8f97a6acad07903b5b0,26,icoxfog417
".ViewerChecked{
display:inline-block;
width:40px;
height:9.1px;
fill:#55C500;
}

.NotChecked{
display:inline-block;
width:40px;
height:9.1px;
fill:#999;
}3918",使えるRSpec入門・その1「RSpecの基本的な構文や便利な機能を理解する」,"[""Ruby"", ""RSpec""]","対象となる読者
「RSpecってなんか怖そう」と思っているRSpec初心者の方
「何度か使ってみたけど、RSpecってようわからん」と思っているRSpec経験者の方
Ruby ...",https://qiita.com//jnchito/items/42193d066bd61c740612,24,jnchito
".ViewerChecked{
display:inline-block;
width:40px;
height:9.1px;
fill:#55C500;
}

.NotChecked{
display:inline-block;
width:40px;
height:9.1px;
fill:#999;
}3881",GitHubで使われている実用英語コメント集,"[""Git"", ""GitHub"", ""English"", ""Python"", ""AdventCalendar""]","1
use,in
Use A in B
Bの箇所のAを用いる
Use stub in testing.
use,for
Use A for B
BのためにAを用いる
use Ruby",https://qiita.com//shikichee/items/a5f922a3ef3aa58a1839,7,shikichee
".ViewerChecked{
display:inline-block;
width:40px;
height:9.1px;
fill:#55C500;
}

.NotChecked{
display:inline-block;
width:40px;
height:9.1px;
fill:#999;
}3872",「AWS is 何」を3行でまとめてみるよ,"[""AWS""]","Ruby, PHP, node.js, Java, Python, .Net, Docker, Go が動くPaaS。内部的にはEC2 + ELB ぽいね。",https://qiita.com//kohashi/items/1bb952313fb695f12577,12,kohashi
".ViewerChecked{
display:inline-block;
width:40px;
height:9.1px;
fill:#55C500;
}

.NotChecked{
display:inline-block;
width:40px;
height:9.1px;
fill:#999;
}3831",Vim幼稚園からVim小学校へ,"[""Vim""]","とりあえず自分はRubyのshebangとGolangのテンプレートを登録してみた。
Level 6
何だかこの自虐的な記事が妙に多くの人にストックされてしまった。",https://qiita.com//hachi8833/items/7beeee825c11f7437f54,21,hachi8833
".ViewerChecked{
display:inline-block;
width:40px;
height:9.1px;
fill:#55C500;
}

.NotChecked{
display:inline-block;
width:40px;
height:9.1px;
fill:#999;
}3804",ウェブカツ運営者が語る！エンジニアで稼ぐために大切な２０のコト,"[""新人プログラマ応援"", ""プログラミング教育"", ""プロジェクト管理"", ""マネジメント""]",稼ぎたいなら、html、CSS、jsなどフロント側言語とphp、ruby、javaなどサーバサイド言語を使って、一つのサービスを自分でまず作れるようになること。,https://qiita.com//kazukichi/items/7379b75fba2f90d3cf45,73,kazukichi
".ViewerChecked{
display:inline-block;
width:40px;
height:9.1px;
fill:#55C500;
}

.NotChecked{
display:inline-block;
width:40px;
height:9.1px;
fill:#999;
}3663",ネイティブと働いて分かった英語コミットメッセージの頻出動詞10つ,"[""英語"", ""programming"", ""Git""]","Bに取り替える
例
Replace the elaborate reloading connection checking scheme, just fix the Ruby ...",https://qiita.com//gogotanaka/items/b65e1b081fa976e5d754,13,gogotanaka
".ViewerChecked{
display:inline-block;
width:40px;
height:9.1px;
fill:#55C500;
}

.NotChecked{
display:inline-block;
width:40px;
height:9.1px;
fill:#999;
}3516",[初心者向け] RubyやRailsでリファクタリングに使えそうなイディオムとか便利メソッドとか,"[""Rails"", ""Ruby"", ""初心者""]","昨日Qiitaに投稿した記事は普段のコードレビューの副産物 - give IT a try
Ruby編
以下はRubyの標準機能を使ったイディオムやメソッド ...",https://qiita.com//jnchito/items/dedb3b889ab226933ccf,15,jnchito
".ViewerChecked{
display:inline-block;
width:40px;
height:9.1px;
fill:#55C500;
}

.NotChecked{
display:inline-block;
width:40px;
height:9.1px;
fill:#999;
}3414",モデルやメソッドに名前を付けるときは英語の品詞に気をつけよう,"[""English"", ""Ruby"", ""Rails""]","想定する言語/フレームワーク
この記事の説明ではRuby/Ruby on Railsを想定しています。
ただし、基本的な考え方は他の言語でも同じように使える ...",https://qiita.com//jnchito/items/459d58ba652bf4763820,25,jnchito
".ViewerChecked{
display:inline-block;
width:40px;
height:9.1px;
fill:#55C500;
}

.NotChecked{
display:inline-block;
width:40px;
height:9.1px;
fill:#999;
}3294",Markdown記法 サンプル集,"[""Markdown"", ""githubflavoredmarkdown""]","記述例
　~~~ruby
　class Hoge
　  def hoge
　    print 'hoge'
　  end
　end
　~~~
表示例
class Hoge
 ...",https://qiita.com//tbpgr/items/989c6badefff69377da7,3,tbpgr
".ViewerChecked{
display:inline-block;
width:40px;
height:9.1px;
fill:#55C500;
}

.NotChecked{
display:inline-block;
width:40px;
height:9.1px;
fill:#999;
}3253",プログラミング勉強を加速させる7つの習慣,"[""新人プログラマ応援"", ""初心者"", ""勉強"", ""Ruby"", ""Rails""]","アプリケーションを作る為に必要なRuby, Rails, MySQLの勉強は徹底的にする。
実運用や開発の効率化を考えて、ソフトウェアテストやGit等のツールやスキルは勉強する。 ",https://qiita.com//YudaiTsukamoto/items/42a8df22ca4c6b327dfd,18,YudaiTsukamoto
".ViewerChecked{
display:inline-block;
width:40px;
height:9.1px;
fill:#55C500;
}

.NotChecked{
display:inline-block;
width:40px;
height:9.1px;
fill:#999;
}3237",(下準備編)世界一丁寧なAWS解説。EC2を利用して、RailsアプリをAWSにあげるまで,"[""Ruby"", ""AWS"", ""Rails""]","世界一丁寧なAWS解説シリーズ　項目表
No.
タイトル
1
〜〜下準備編(今ここ)〜〜
2
DB・サーバー構築編
3
デプロイ編①
4
デプロイ編②
5
Capistrano編
はじめに
Ra...",https://qiita.com//naoki_mochizuki/items/f795fe3e661a3349a7ce,5,naoki_mochizuki
".ViewerChecked{
display:inline-block;
width:40px;
height:9.1px;
fill:#55C500;
}

.NotChecked{
display:inline-block;
width:40px;
height:9.1px;
fill:#999;
}3192",VagrantとDockerについて名前しか知らなかったので試した,"[""Vagrant"", ""Docker""]","（Vagrant自体のダウンロード時間などは除く）
また、構成内容をそのままコマンドに食わせるテキストファイル（実態は ruby コード）にできるので、 環境構築手順.doc ...",https://qiita.com//hidekuro/items/fc12344d36d996198e96,7,hidekuro
".ViewerChecked{
display:inline-block;
width:40px;
height:9.1px;
fill:#55C500;
}

.NotChecked{
display:inline-block;
width:40px;
height:9.1px;
fill:#999;
}3155",2016年 独りで新規WEBサービスを開発・運用した際の知見,"[""Python"", ""Flask"", ""HTML"", ""SEO"", ""Rails""]",日本語ドキュメントがたぶん日本で一番豊富なRuby on Rails を使うことをオススメします。 人間様が気分よくプログラムするための...というRuby ...,https://qiita.com//haminiku/items/711cbdb894d1d6839e3e,3,haminiku
".ViewerChecked{
display:inline-block;
width:40px;
height:9.1px;
fill:#55C500;
}

.NotChecked{
display:inline-block;
width:40px;
height:9.1px;
fill:#999;
}2986",初心者歓迎！手と目で覚える正規表現入門・その１「さまざまな形式の電話番号を検索しよう」,"[""Ruby"", ""ATOM"", ""正規表現"", ""JavaScript""]","Ruby
JavaScript
Atom
とはいえ、正規表現はそれ自体が独立したミニ言語みたいなものなので、プログラミング言語やテキストエディタを問わず、同じように使えます。 ",https://qiita.com//jnchito/items/893c887fbf19e17d3ff9,8,jnchito
".ViewerChecked{
display:inline-block;
width:40px;
height:9.1px;
fill:#55C500;
}

.NotChecked{
display:inline-block;
width:40px;
height:9.1px;
fill:#999;
}2961",新人プログラマに正月休み中を使って読んでみてほしい技術書をセレクトしてみた。,"[""技術書""]","リファクタリング:Rubyエディション
Rubyのバージョンもあるので、LLでのパターン検討にはこちらでもいいかもしれません。",https://qiita.com//hirokidaichi/items/d30714f0698dcff1200f,2,hirokidaichi
".ViewerChecked{
display:inline-block;
width:40px;
height:9.1px;
fill:#55C500;
}

.NotChecked{
display:inline-block;
width:40px;
height:9.1px;
fill:#999;
}2865",新人プログラマに知ってもらいたいメソッドを読みやすく維持するいくつかの原則,"[""Ruby"", ""プログラミング"", ""JavaScript"", ""Perl""]","rubyなどif式自体が返値を持っているような場合はそれをつかうのもいいでしょう。 Perl : Perl::Metrics::Lite
Ruby : ru ...",https://qiita.com//hirokidaichi/items/c9a76191216f3cc6c4b2,8,hirokidaichi
".ViewerChecked{
display:inline-block;
width:40px;
height:9.1px;
fill:#55C500;
}

.NotChecked{
display:inline-block;
width:40px;
height:9.1px;
fill:#999;
}2846",2017年のフロントエンドエンジニアならこの程度は知ってて当然だよな？,"[""JavaScript"", ""フロントエンド"", ""エンジニア""]","トランスパイラ
HAML
Ruby on Railsでよく使われるらしい。
Pug
旧称Jade。HAMLとだいたい同じ。
Markdown
Redmine等で使われる記法。",https://qiita.com//rana_kualu/items/cad8dbbe5f5a1f1b3ba1,11,rana_kualu
".ViewerChecked{
display:inline-block;
width:40px;
height:9.1px;
fill:#55C500;
}

.NotChecked{
display:inline-block;
width:40px;
height:9.1px;
fill:#999;
}2782",なぜ仮想DOMという概念が俺達の魂を震えさせるのか,"[""VirtualDom"", ""AdventCalendar"", ""JavaScript"", ""React""]",たとえば僕は今Rubyでjadeテンプレートエンジンを仮想DOMとしてrenderするような実験してて、次のようなことができるのもわかってます。,https://qiita.com//mizchi/items/4d25bc26def1719d52e6,,mizchi
".ViewerChecked{
display:inline-block;
width:40px;
height:9.1px;
fill:#55C500;
}

.NotChecked{
display:inline-block;
width:40px;
height:9.1px;
fill:#999;
}2669",コーディングをするときに鼻血がでるほど便利なwebツールリスト,"[""tool"", ""Web"", ""coding"", ""正規表現"", ""naming""]","Rubular
Rubyの正規表現をテストできます。
JSON
JSON FORMATTER & VALIDATOR
JSON系のツールが集まったサイト。 Java
 ...",https://qiita.com//isuke/items/7fcc5eb0b985005b7b7c,19,isuke
".ViewerChecked{
display:inline-block;
width:40px;
height:9.1px;
fill:#55C500;
}

.NotChecked{
display:inline-block;
width:40px;
height:9.1px;
fill:#999;
}2557",npm とか bower とか一体何なんだよ！Javascript 界隈の文脈を理解しよう,"[""JavaScript"", ""Node.js"", ""CommonJS"", ""browserify""]",C言語なら #include、ruby なら require、golang なら import。 こうして Javascript は、めでたく ruby の ...,https://qiita.com//megane42/items/2ab6ffd866c3f2fda066,5,megane42
".ViewerChecked{
display:inline-block;
width:40px;
height:9.1px;
fill:#55C500;
}

.NotChecked{
display:inline-block;
width:40px;
height:9.1px;
fill:#999;
}2556",4ステップで作成する、DB論理設計の手順とチェックポイントまとめ,"[""oracle"", ""MySQL"", ""SQL"", ""Ruby"", ""PHP""]","はじめに
「達人に学ぶDB設計」、「SQLアンチパターン」を読んだのでDB設計をする流れとその過程でのチェックポイントをまとめてみました。
今回は本に載っているものの中でも特に重要そうな部分に絞...",https://qiita.com//nishina555/items/a79ece1b54faf7240fac,13,nishina555
".ViewerChecked{
display:inline-block;
width:40px;
height:9.1px;
fill:#55C500;
}

.NotChecked{
display:inline-block;
width:40px;
height:9.1px;
fill:#999;
}2522",プログラマーの君！ 騙されるな！ シェルスクリプトはそう書いちゃ駄目だ！！ という話,"[""Bash"", ""シェルスクリプト""]",ですが、コマンドを実行するだけならNode.jsでもRubyでもPythonでも大抵の言語でできます。ここで言いたいのはそういう事ではありません。 筆者も、一番馴染みがある言 ...,https://qiita.com//piroor/items/77233173707a0baa6360,13,piroor
".ViewerChecked{
display:inline-block;
width:40px;
height:9.1px;
fill:#55C500;
}

.NotChecked{
display:inline-block;
width:40px;
height:9.1px;
fill:#999;
}2393",Javaを使うなら知っておきたい技術、フレームワーク、ライブラリ、ツールまとめ,"[""ツール"", ""ライブラリ"", ""Java""]","Mustache.java
Java以外にRuby, JavaScript, Python, PHP, Go, Scala, node.js他多数の言語で使用可能なテンプレー ...",https://qiita.com//disc99/items/727b51dbe737602a5c91,17,disc99
".ViewerChecked{
display:inline-block;
width:40px;
height:9.1px;
fill:#55C500;
}

.NotChecked{
display:inline-block;
width:40px;
height:9.1px;
fill:#999;
}2323",もっと気軽にアウトプットできる技術ブログサービス「Qrunch（クランチ）」をリリースした【個人開発】,"[""Webサービス"", ""個人開発"", ""Ruby"", ""Markdown"", ""Rails""]","クランチの動作環境
Ruby , Ruby on Rails
JavaScript , jQuery
css , sass
nginx , unicorn
 ...",https://qiita.com//terubooon/items/95a561d163d26bbfe274,39,terubooon
".ViewerChecked{
display:inline-block;
width:40px;
height:9.1px;
fill:#55C500;
}

.NotChecked{
display:inline-block;
width:40px;
height:9.1px;
fill:#999;
}2306",動的言語だけやってた僕が、38日間Go言語を書いて学んだこと,"[""Go"", ""PHP"", ""Java""]","筆者のバックグランド
PHP歴、JavaScript歴10年~
Python 3ヶ月くらい
Ruby 1日
静的言語経験ほぼ皆無(Java 3日くらい、Scala 3日くらい ...",https://qiita.com//suin/items/22662f43b6a6e8728798,2,suin
".ViewerChecked{
display:inline-block;
width:40px;
height:9.1px;
fill:#55C500;
}

.NotChecked{
display:inline-block;
width:40px;
height:9.1px;
fill:#999;
}2241",レッドコーダーが教える、競プロ・AtCoder上達のガイドライン【初級編：競プロを始めよう】,"[""競技プログラミング"", ""AtCoder"", ""アルゴリズム"", ""数学"", ""新人プログラマ応援""]","実際に、
C++14
Java
Python
C#
Ruby
などを含む、50種類以上のプログラミング言語で提出をすることができます。",https://qiita.com//e869120/items/f1c6f98364d1443148b3,13,e869120
".ViewerChecked{
display:inline-block;
width:40px;
height:9.1px;
fill:#55C500;
}

.NotChecked{
display:inline-block;
width:40px;
height:9.1px;
fill:#999;
}2169",Naming -名前付け-,"[""naming"", "".NET"", ""Java"", ""Ruby"", ""ドメイン駆動設計""]","Naming -名前付け-
プログラミングで最も重要な技術の一つが、名前付けです。
且つ、センスが問われるものなので、上達は難しいものでもあります。
この記事では、様々な文献から抽出した名前付け...",https://qiita.com//Koki_jp/items/f3d3e824f98d182d4100,6,Koki_jp
".ViewerChecked{
display:inline-block;
width:40px;
height:9.1px;
fill:#55C500;
}

.NotChecked{
display:inline-block;
width:40px;
height:9.1px;
fill:#999;
}2154",Git・GitHubに隠された便利な機能 | GitHub Cheat Sheet（日本語訳）,"[""Git"", ""GitHub"", ""gist"", ""翻訳""]","heat-sheet
日本語翻訳
sotayamashita/github-cheat-sheet
概要
このチートシートは、Zach HolmanさんがAloha Ruby ...",https://qiita.com//unbabel/items/1cf05f2a2be3d6fb3388,7,unbabel
".ViewerChecked{
display:inline-block;
width:40px;
height:9.1px;
fill:#55C500;
}

.NotChecked{
display:inline-block;
width:40px;
height:9.1px;
fill:#999;
}2140",Vue.jsを100時間勉強して分かったこと,"[""Vue.js""]",学習開始時のレベルは、JavaScript・jQueryはそれなりに扱うことができ、過去に少しだけReactを勉強したことがある感じでした（専門は Ruby on Rails ...,https://qiita.com//kskinaba/items/3e8887d45b11f9132012,13,kskinaba
".ViewerChecked{
display:inline-block;
width:40px;
height:9.1px;
fill:#55C500;
}

.NotChecked{
display:inline-block;
width:40px;
height:9.1px;
fill:#999;
}2018",エンジニア歴20数年の私が、設計書を書く際に心がけていること,"[""仕様書"", ""設計書"", ""新人プログラマ応援"", ""教育""]",略語についても用語集に記載するか、または文書冒頭に「Ruby on Rails（以下、RoRと記載）」という感じで書きましょう。,https://qiita.com//y-some/items/90651c1e27f7798f87c6,29,y-some
".ViewerChecked{
display:inline-block;
width:40px;
height:9.1px;
fill:#55C500;
}

.NotChecked{
display:inline-block;
width:40px;
height:9.1px;
fill:#999;
}1997",Webアプリケーションフレームワーク導入時に考慮すべき22の観点,"[""設計"", ""DDD"", ""アーキテクチャ"", ""フレームワーク""]",例えばRubyでは、Timecopというgemがあり、簡単に現在日時を固定することができる。 例えば、RailsのActive Recordマイグレーションでは、,https://qiita.com//tmknom/items/08b69594e32a92bccee5,10,tmknom
".ViewerChecked{
display:inline-block;
width:40px;
height:9.1px;
fill:#55C500;
}

.NotChecked{
display:inline-block;
width:40px;
height:9.1px;
fill:#999;
}1974",脱初心者を目指すVimmerにオススメしたいVimプラグインや.vimrcの設定,"[""Vim"", ""Ruby""]","imのプラグインに興味はあるが、多すぎてどれを使うべきか迷っている人
基本的なVimコマンドには慣れてきたが、.vimrcのカスタマイズにはまだ抵抗がある人
VimでRuby ...",https://qiita.com//jnchito/items/5141b3b01bced9f7f48f,6,jnchito
".ViewerChecked{
display:inline-block;
width:40px;
height:9.1px;
fill:#55C500;
}

.NotChecked{
display:inline-block;
width:40px;
height:9.1px;
fill:#999;
}1967",ライセンスの選択を恐れる必要はありません,"[""ライセンス"", ""GPL"", ""MIT-License"", ""ApacheLicense""]","(Ruby 1.9.2リリースとWEBrick脆弱性問題の顛末 - 西尾泰和のはてなダイアリー より引用)
また、2chの Navi2ch for Emacs (Part 2 ...",https://qiita.com//tadsan/items/99d816e78ca429093b75,10,tadsan
".ViewerChecked{
display:inline-block;
width:40px;
height:9.1px;
fill:#55C500;
}

.NotChecked{
display:inline-block;
width:40px;
height:9.1px;
fill:#999;
}1958",1分でも早く仕事を終わらせるためにVSCodeにできること,"[""VSCode"", ""効率化"", ""IDE""]","TypeScript
Python
Go
Ruby
C#
...etc
と10数個の言語をサポートしています。",https://qiita.com//EaE/items/4ca1b35396eba682a86f,13,EaE
".ViewerChecked{
display:inline-block;
width:40px;
height:9.1px;
fill:#55C500;
}

.NotChecked{
display:inline-block;
width:40px;
height:9.1px;
fill:#999;
}1937",ソートを極める！ 〜 なぜソートを学ぶのか 〜,"[""アルゴリズム"", ""競技プログラミング"", ""ソート"", ""数学"", ""新人プログラマ応援""]","その辺りの話は
Ruby アルゴリズム 線形探索と二分探索
【アルゴリズムとは？探索アルゴリズム入門】~Python~
にも書いてあります。しかし疑問が浮かんだ方も多いと思います。",https://qiita.com//drken/items/44c60118ab3703f7727f,23,drken
".ViewerChecked{
display:inline-block;
width:40px;
height:9.1px;
fill:#55C500;
}

.NotChecked{
display:inline-block;
width:40px;
height:9.1px;
fill:#999;
}1924",rails generate migrationコマンドまとめ,"[""Rails"", ""Ruby""]",RailsでDBスキーマ周りをいじろうとすると、たいていrails generate migrationコマンドあたりがでてくるんだけど、なんかいまいちどういう使い方ができるのか、分からなかった...,https://qiita.com//zaru/items/cde2c46b6126867a1a64,1,zaru
".ViewerChecked{
display:inline-block;
width:40px;
height:9.1px;
fill:#55C500;
}

.NotChecked{
display:inline-block;
width:40px;
height:9.1px;
fill:#999;
}1904",2018年の最先端バックエンドエンジニアになろう,"[""Node.js"", ""PHP"", ""バックエンド""]",例えばPHPやNode.jsを使っているのであれば、PythonやRubyではなく、ErlangやGolangを試してみてください。 PHPを選んだのであればComposer ...,https://qiita.com//rana_kualu/items/19ab559dddbca6674417,2,rana_kualu
".ViewerChecked{
display:inline-block;
width:40px;
height:9.1px;
fill:#55C500;
}

.NotChecked{
display:inline-block;
width:40px;
height:9.1px;
fill:#999;
}1882",Python Webスクレイピング テクニック集「取得できない値は無い」JavaScript対応@追記あり6/12,"[""Python"", ""スクレイピング""]",今回紹介するテクニックを使えれば経験上大体どんな値でも取得でき、これらはRubyだろうがGolangだろうが同じ様に動作します。,https://qiita.com//Azunyan1111/items/b161b998790b1db2ff7a,82,Azunyan1111
".ViewerChecked{
display:inline-block;
width:40px;
height:9.1px;
fill:#55C500;
}

.NotChecked{
display:inline-block;
width:40px;
height:9.1px;
fill:#999;
}1878",気付いたら.gitignoreはgiboで自動生成する時代になっていた,"[""Git"", ""gitignore"", ""gibo""]","Yeoman
Eagle           Leiningen       ROS         Yii
Elisp           LemonStand      Ruby",https://qiita.com//tmknom/items/c4bcebe17d25381fa45d,1,tmknom
".ViewerChecked{
display:inline-block;
width:40px;
height:9.1px;
fill:#55C500;
}

.NotChecked{
display:inline-block;
width:40px;
height:9.1px;
fill:#999;
}1877",新人にドヤ顔で説明できるか、今風フロントエンド開発ハンズオン(Git/Node.js/ES6/webpack4/Babel7),"[""JavaScript"", ""Node.js"", ""webpack"", ""babel"", ""es6""]",JavaScriptも他の言語プラットフォーム(JavaやRubyなど)同様の開発エコシステムが急速に(※)整備された。,https://qiita.com//riversun/items/29d5264480dd06c7b9fb,9,riversun
".ViewerChecked{
display:inline-block;
width:40px;
height:9.1px;
fill:#55C500;
}

.NotChecked{
display:inline-block;
width:40px;
height:9.1px;
fill:#999;
}1861",Reactで誰もがやりたかった10の機能。アプリ構想はあるけど作れない人の壁をぶっ壊す。,"[""React"", ""redux"", ""material-ui"", ""react-router"", ""SPA""]","自己紹介・今回の趣旨
普段はRuby on Railsとか使ってアプリをつくってます。最近だと、Railsで歌声専門フリマサイトとかいう超ニッチサービスを立ち上げたりしました ...",https://qiita.com//y_kawase/items/8f1b5a303400a09c4923,12,y_kawase
".ViewerChecked{
display:inline-block;
width:40px;
height:9.1px;
fill:#55C500;
}

.NotChecked{
display:inline-block;
width:40px;
height:9.1px;
fill:#999;
}1850",意外ととっつきやすいOSS開発参加方法まとめ,"[""新人プログラマ応援"", ""OSS"", ""初心者""]","Ruby開発者のMatz(まつもとゆきひろ)さんが、こう語られています。
今までは、仕事は会社から与えられるもので、面白い仕事が当たればラッキーだけどそうじゃない場合もあった ...",https://qiita.com//shunsuke227ono/items/94dd6e707d34a1da2617,2,shunsuke227ono
